"TRAAAGF12903CEC202","Halvdan Sivertsen","Små Ord"
"TRCCCJT128F429FFF6","Middle Of The Road","Bonjour ca va"
"TRCCEVK128F425A6BC","Bay City Rollers","You're A Woman"
"TRCCFXQ128F42423EC","The Veronicas","4ever (E Smoove Club Edit)"
"TRCCGAW12903CEBA6A","The Caravelles","You Don't Have to Be a Baby to Cry"
"TRCCHKA128E078F141","Abba","Al Andar"
"TRCCICW128EF34E446","Shaila Dúrcal","No Sirvo Para Estar Sin Ti"
"TRCCIKH128F932FE80","Britney Spears","Thinkin' About You"
"TRCCITY128F425A828","Natasha Bedingfield","Drop Me In The Middle"
"TRCCJXX128F92E09BB","Anastacia","Heavy Rotation"
"TRCCKDJ128F424803F","Sharleen Spiteri","Stop_ I Don't Love You Anymore"
"TRCCKHG128F4279D50","Barbara Dickson","I Don't Believe In Miracles"
"TRCCLSU128F92F0F4A","Jennifer Paige","Wasted"
"TRCCMEB128F42547E0","Topmodelz","Here I Go Again"
"TRCCNFQ128F14903C4","Sean Lennon","Wasted"
"TRCCOXB128F92F1216","Eddie Fisher","Downhearted"
"TRCCOXD128F4292655","Natural","Will It Ever"
"TRCCOZQ128F426665E","Sophie B. Hawkins","Damn I Wish I Was Your Lover"
"TRCCPAT128F92D5D34","Jonas Brothers","Hello Beautiful"
"TRCCQDH128F42A3631","Alcazar","Start The Fire"
"TRCCQQA128F4280D1C","Paula Koivuniemi","Sata kesää_ tuhat yötä"
"TRCCRFR128F92FE2EC","Lisa Hannigan","Splishy Splashy"
"TRCCTKO128E07896E0","Daniel Bedingfield","Somebody Told Me"
"TRCCWAA12903CE1790","Joe Yellow","Lover to Lover"
"TRCCXGK128F1484F94","Bertine Zetlitz","Midnight"
"TRCCXIC128F1495FE6","Glenmark/Eriksson/Strömstedt","Natten Är Min Vän"
"TRCCYNL128EF348F3E","Tony Christie","I Did What I Did For Maria"
"TRCCYOZ128F14628E0","Lighthouse Family","Lifted"
"TRCCZZL128F4287E46","Five","Satisfied"
"TRCDAAO128F9300C09","Gazebo","Sun Goes down on milky way"
"TRCDAIU128F92C77DF","Colbie Caillat","Capri"
"TRCDCAC128F428E5FC","Kirsty MacColl","Titanic Days"
"TRCDEOG128F92F9482","Adam Faith","Someone Else's Baby"
"TRCDEQE128F4290C40","Five Star","If I Say Yes"
"TRCDHIY12903CAB9B1","Backstreet Boys","Crawling Back To You"
"TRCDKEY128F4283BAF","Michael Jackson","I Can't Help It"
"TRCDONN128F92CA4F0","Ace of Base","Voulez-Vous Danser"
"TRCDPRQ12903CB7687","Amanda Lear","Brand New Love Affair Symphony"
"TRCDPWY128F42A9055","Darren Hayes","Words"
"TRCDQGA128F93171E9","Scissor Sisters","Might Tell You Tonight"
"TRCDRLJ128F4245006","Universal Poplab","Fire"
"TRCDSIZ128F423BCC6","Ivan Ferreiro","Cancion humeda"
"TRCDSLG128F4273C91","Savage Garden","Chained To You"
"TRCDUMA128F427D458","Nancy Sinatra","Flowers On The Wall"
"TRCDWAN128F1479979","Duncan James","Amazed"
"TRCDWGK128F9316497","Dannii Minogue","Be Careful"
"TRCDWWD128F422F4D2","Shakespears Sister","I Don't Care"
"TRCDXQM128F1488170","Melody Club","Destiny Calling"
"TRCDYGC128F146F4FA","KT Tunstall","Girl And The Ghost"
"TRCEEUH128F42646A8","Dan Hartman","Vertigo/Relight My Fire"
"TRCEEXA12903CED273","Avril Lavigne","Hot"
"TRCEGRC128F4272C7D","Billie Myers","You Send Me Flying"
"TRCEHPH128F92EB0B4","Dido","Grafton Street"
"TRCEHRZ128F428E419","Frankie Goes To Hollywood","Krisco Kisses"
"TRCEIIR128F425E1F1","Barry Manilow","Weekend In New England"
"TRCEIPJ128F92F478F","Chimène Badi","Pardonner"
"TRCEIPR128F92DE23B","Boyzone","Words"
"TRCEJXG128F9338494","Lily Allen","Never Gonna Happen"
"TRCENLF128F93035A0","Shawn Phillips","A Christmas Song"
"TRCENLH12903CE82B1","Amber","Don't Say Goodbye"
"TRCEOKT12903CF168C","Diana Vickers","Once"
"TRCEOLR128F92CC961","Jonas Brothers","Got Me Going Crazy"
"TRCEPUH128F934AAEC","Tommy Körberg","Judy min vän"
"TRCEQYE128F92F19A8","Lara Fabian","J'Y Crois Encore"
"TRCEVBO128F147D6A7","The Mamas & The Papas","Spanish Harlem"
"TRCEVNY128F4263114","Benjamin Biolay","L'Appât"
"TRCEVWX128F148BDA1","Samantha Mumba","Believe In Me"
"TRCEWFD128F9306B8E","Jaki Graham","Step Right Up"
"TRCEWHS12903CD45E0","Margo Guryan","It's Alright Now"
"TRCEXCW128F92F150C","Pastora","Planetes Marins"
"TRCEYRI128F9308527","Alizée","Veni Vedi Vici"
"TRCFBEG128F425E67B","Backstreet Boys","Something That I Already Know"
"TRCFCGG128F1474E5A","Scooch","The Next Step"
"TRCFDMC128F427E008","Lori Meyers","Funcionará"
"TRCFFKI128EF356E6F","The Salsoul Orchestra","Tangerine"
"TRCFHPS12903CFA52C","Village People","Key West"
"TRCFHUM128F42591BE","B. J. THOMAS","Raindrops Keep Fallin On My Head"
"TRCFJBG128F423B444","Monrose","Dangerous"
"TRCFJIE128F427AE5A","Jens Friebe","Lawinenhund"
"TRCFMON12903CB01E7","Sunblock","I'll Be Ready"
"TRCFQKQ128F42BC245","Jessica Simpson","I Belong To Me"
"TRCFSPS12903CC6565","Language of Flowers","Leaving"
"TRCFSUQ128F92D9F3F","The Pussycat Dolls","Painted Windows"
"TRCFTCL128F92CF85E","James Morrison","Wonderful World"
"TRCFTIM128F932149C","Mariah Carey","Whenever You Call"
"TRCFTZU128F92EED1B","Anna Järvinen","Boulevarden"
"TRCFWQR12903C9FED7","Papas Da Língua","Viajar"
"TRCFZGQ128F92EFF0E","Abba","Summer Night City"
"TRCGBAE128F146A16F","Lene Marlin","Maybe I'll Go"
"TRCGBMT128E07850BE","LMNT","Juliet (Top 40 Edit)"
"TRCGCDU128E0781AE8","KC And The Sunshine Band","Queen Of Clubs"
"TRCGCEX128F146A858","Melanie C","If That Were Me"
"TRCGCIX128EF341FFB","All Saints","Too Nasty"
"TRCGDKX128EF351A4B","George McCrae","I Can't Leave You Alone"
"TRCGDTY12903CA54D8","Baccara","Parlez-Vous Francais"
"TRCGFJF128F4259B22","Alison Moyet","Whispering Your Name"
"TRCGFQH128E07813DD","Robbie Williams And Nicole Kidman","Somethin' Stupid"
"TRCGFZT128F1460EF8","Ella Baila Sola","MAL HOTEL"
"TRCGHZQ128F42B0D37","Dido","Sand In My Shoes"
"TRCGIAB128F427273C","Brigitte Bardot","C'Est Rigolo"
"TRCGIHB128F931A411","Amy Cook","Sunshine"
"TRCGJCA128F4232462","Hombres G","Todos menos tu"
"TRCGJOM128F146F528","Ariane Moffatt","Farine Five Roses"
"TRCGKQM128F932EA77","Shangri Las","What Is Love"
"TRCGKRG12903CC018E","Esmée Denters","Outta Here"
"TRCGLPT128F42A0273","Duran Duran","We Need You"
"TRCGLSK128F93330F0","The Blow Monkeys","Man From Russia"
"TRCGMDL128F932D94D","Lasgo","Out Of My Mind"
"TRCGNQU128E078174F","The Bangles","Song For A Good Son"
"TRCGRMU128F92E1519","Shugo Tokumaru","Mist"
"TRCGSQD128F42AEA3A","Laith Al-Deen","Ruhe"
"TRCGSSV128EF35EFFB","Max Gazzè","La Favola Di Adamo Ed Eva"
"TRCGTII128F92E1F69","Anna Abreu","Done With Her"
"TRCGWSO128F42A3643","Alcazar","Love Life"
"TRCGYOB128F92DFA37","Jordin Sparks","One Step At A Time"
"TRCHAJL128F9325737","Hilary Duff","Stranger"
"TRCHBOX128F92F6FA4","The Honeycombs","Have I The Right"
"TRCHBTZ128F92EAF91","New Kids On The Block","Merry_ Merry Christmas"
"TRCHCIV128F4241F40","Carol Douglas","Midnight Love Affair"
"TRCHCRV128F42614D7","Ann Lee","In You"
"TRCHEOT128F1454654","Kirsty MacColl","There's A Guy Works Down The Chip Shop Swears He's Elvis"
"TRCHFGS12903D0847D","The Saturdays","Forever Is Over"
"TRCHFTM12903CC34B5","Robin S","Show Me Love"
"TRCHGQL12903CB9510","Alcazar","Chemistry"
"TRCHHKL128F92C497D","Donna Summer","Stamp Your Feet"
"TRCHIWU128F93017AB","Sugababes","Shape"
"TRCHKXK128F42636EC","Anouk","Lost"
"TRCHLVQ128F1496A53","Rickie Lee Jones","The Last Chance Texaco (LP Version)"
"TRCHNOM128F4218D9B","Matt Nathanson","I Saw"
"TRCHRTI128F9325745","Hilary Duff","Why Not"
"TRCHSRY128F42598BE","Helen Boulding","I Always Look This Blue"
"TRCHTQP128F92F3149","Annett Louisan","Das Gefühl"
"TRCHVLS128F4226B58","Unni Wilhelmsen","Autumn Dawning"
"TRCHWIP128F428631B","Tina Dico","Warm Sand"
"TRCHWUK12903CD11E9","Steve Angello & Laidback Luke Feat. Robin S","Show Me Love"
"TRCHXSU128F9341F3E","Anthony Callea","Per Sempre (For Always)"
"TRCHXTL128F4280A5A","Roxette","Stars (Almighty Dub)"
"TRCHXVA128F4298CC8","J. Karjalainen Electric Sauna","Pienii askelii"
"TRCHXZI128F92EE58E","Lily Allen","Alfie"
"TRCHYIF128F1464CE7","Richard Marx","Ready To Fly"
"TRCHYLU128F92CA525","Ace of Base","Cruel Summer (Big Bonus Mix)"
"TRCHZLF128F1494A13","Cristina Donà","Give It Back (To Me)"
"TRCHZZY128F14A467C","Madonna","Get Together [Live] [Bonus Track]"
"TRCIBWK128F92FDF40","Lionel Richie","Somewhere In London"
"TRCIFWX128F14A37C1","DJ Bobo","Freedom"
"TRCIHTE128F1458449","Boy George","Don't Cry"
"TRCIIUA128F93652FB","Ellie Goulding","Wish I Stayed"
"TRCIJHB128F42A7CF6","Lucie Silvas","Nothing Else Matters"
"TRCIKZG12903CE6A73","Demi Lovato","U Got Nothin' On Me"
"TRCILAH128F92EC234","The Saturdays","Just Can't Get Enough"
"TRCILTN128F427F8E3","Bic Runga","Beautiful Collision"
"TRCILWH128F14AE0AC","Avalon","Let Your Love"
"TRCINJU128F4296C87","Eros Ramazzotti","Amore Contro"
"TRCIPEX128F425C4BB","Backstreet Boys","Helpless When She Smiles"
"TRCIPRH128F425A1AB","Westlife","Fool Again"
"TRCIPVE12903CA54D3","Baccara","Sorry I'm a Lady"
"TRCIRSK128F92FC58F","Daniel Lavoie","Ils s'aiment"
"TRCITLP128F1455FAF","Hayley Westenra","Wuthering Heights"
"TRCIWUC128F42BC230","Jessica Simpson","If You Were Mine"
"TRCIXWS128E0792884","Boomkat","Wastin' My Time"
"TRCJADX128F428D3E0","Britney Spears","Let Me Be"
"TRCJAFI128F425E30D","Mark Ronson featuring Daniel Merriweather","Stop Me"
"TRCJBFL128E0789CBB","Lisa Miskovsky","Back To Stoneberry Road"
"TRCJBGR128EF341FF3","All Saints","Rock Steady"
"TRCJCLY128F930F2BE","Katharine McPhee","Open Toes"
"TRCJCUO128F932F595","Lisa Miskovsky","Another Shape Of My Heart"
"TRCJDOG128F42927F5","Five","Keep On Movin'"
"TRCJEQG128F427E0D6","The Pierces","The Way"
"TRCJFQI128F92CA50D","Ace of Base","Beautiful Morning"
"TRCJFRD128F92F5B84","Michael Jackson","The Girl Is Mine"
"TRCJFVS128F4218F54","Ben's Brother","God By Another Name"
"TRCJGRQ128F4263119","Benjamin Biolay","Tant Le Ciel Etait Sombre"
"TRCJIHY128F93099AC","Wayne Fontana / The Mindbenders","Pamela Pamela"
"TRCJJHM128F4273BBB","Sophie Ellis-Bextor","Can't Have It All"
"TRCJJRU12903CB3116","Bucks Fizz","Run for Your Life"
"TRCJKKY128F4235034","Marie Lindberg","Trying To Recall"
"TRCJKRP128F14A8FCC","The Monkees","I'll Spend My Life With You"
"TRCJKUR128F9333A0C","Anna Ternheim","Girl Laying Down"
"TRCJLCF12903D07D4F","Bodo Wartke","Ich trau' mich nicht"
"TRCJLMB128F42A0280","Duran Duran","All She Wants Is (Euro Dub Mix)"
"TRCJMME128F42B4FD0","Nevio","Amore Per Sempre"
"TRCJNCL128F42AC497","Céline Dion","La voix du bon Dieu"
"TRCJNHM128F92C3172","Avril Lavigne","Nobody's Home"
"TRCJNKA128F4277C92","Despistaos","El silencio"
"TRCJNSK128EF35E240","ABC","15 Storey Halo"
"TRCJOYQ128F92FD72E","Céline Dion","Mon Homme"
"TRCJSMX128F932F4B0","Joy Williams","God Only Knows"
"TRCJUZC128F9339CD4","Vanessa Hudgens","Don't Ask Why"
"TRCJWMY128F4282ACB","Son Of A Plumber","Come Back Tomorrow (And We Do It Again)"
"TRCJXSR128F92DFBDE","The Saturdays","Keep Her"
"TRCJYJT128F92CD3D8","Bette Midler","Just My Imagination [Running Away With Me]"
"TRCJYLF128E0783F3C","Daniel Bedingfield","Sorry"
"TRCJYPQ128F4282943","Nellie McKay","Inner Peace"
"TRCJZJT128F4295B21","Subzonic","Ränn Nur Wäg"
"TRCKAGQ12903CCD6B4","Anssi Kela","Milla"
"TRCKBGW128F14952FA","Jeans","Solo vivo para ti"
"TRCKBRM12903CB0A31","Dina Carroll","Ain't No Man"
"TRCKBWP128F1491042","Serge Gainsbourg","Juif Et Dieu"
"TRCKBXY128E078B448","Annie","No Easy Love"
"TRCKDKS128F92EB22B","Christina Aguilera","Dynamite"
"TRCKIGW128F42903F7","Nazan Öncel","A Bu Hayat"
"TRCKIHC12903CD0B97","New Kids On The Block","You Got It (The Right Stuff)"
"TRCKJNH128F931CE59","Joan Armatrading","Wrapped Around Her"
"TRCKJTM128F4235032","Marie Lindberg","Blame It On Fate"
"TRCKKBI128F148C089","Michael Jackson","Everybody's Somebody's Fool"
"TRCKKDI128F4277545","Vonda Shepard","The Man With The Bag"
"TRCKKVC128F9307C63","Backstreet Boys","Darlin'"
"TRCKQIV128F4270A4D","Basia","The Sweetest Illusion"
"TRCKVBB128F42646B2","3LW","Curious"
"TRCKVPG128F934B729","The Beach Boys","Do It Again"
"TRCKWGF12903CD2DCD","Justin Bieber","Never Let You Go"
"TRCKYIC128F147F1CD","Las Ketchup","Un Blodymary"
"TRCKYNZ128E07933FA","Sophie Ellis-Bextor","Music Gets The Best Of Me"
"TRCKYVR128E0782958","Sinéad O'Connor","I Want To Be Loved By You"
"TRCKZNT128F4238CB4","Alexia","The Music I Like"
"TRCLCNX128F1466731","Jon Secada","Where Do I Go From You"
"TRCLCSF128F9307D06","Kathy Troccoli","Love Was Never Meant To Die"
"TRCLFPB128F42B0077","Sandi Thom","What If I'm Right"
"TRCLGLH12903CB25F3","Arsenium","Love Me... Love Me"
"TRCLHMB12903CAC439","Boyzone","Stronger"
"TRCLHNX128F427996C","Jean-Jacques Goldman","Je Voudrais Vous Revoir"
"TRCLIID128F145D53B","Edyta Gorniak","The Day I Get Over You"
"TRCLKIC128F1477784","The Four Pennies","Square Peg"
"TRCLRCY12903CD307C","Emily Loizeau","Sister"
"TRCLSLU128F92DF5EB","Luca Dirisio","Magica"
"TRCLSRA128F92DC96B","Jamie Dee","Don't Be Shy"
"TRCLSYI128F42AF93F","Kemopetrol","Overweight & Underage"
"TRCLTMH128F428D21B","Lisa Stansfield","Make Love To Ya"
"TRCLUNJ128F148368A","Guus Meeuwis","Ik Wil Je"
"TRCLWEY128F426A819","Shooter","Life's A Bitch"
"TRCLWYZ128F930CA45","Michael Jackson","Superfly Sister"
"TRCLXTI128F932D0C9","Justin Bieber","One Time"
"TRCMAAF128F9351CD0","Karen O And The Kids","All Is Love"
"TRCMAOV128F9345455","Frederik","Linda Linda"
"TRCMFBZ128F145E250","H & Claire","Too Close To Tears"
"TRCMFHM128F931F859","Newsboys","Stay Strong"
"TRCMFTI128F9322C86","Ray Dee Ohh","Love The One You're With"
"TRCMHRC128F93165B0","Kris Allen","Red Guitar"
"TRCMIEY128F92FADC8","Kate Voegele","Talkin' Smooth"
"TRCMJNM128F4278D95","Pastora Soler","Ven A Mi"
"TRCMLYH12903CA943C","Damien Leith","22 Steps"
"TRCMNHW128F147D07B","Glen Campbell And Bobbie Gentry","Let It Be Me"
"TRCMNZY128F4280D6D","Jenni Vartiainen","Elämänperhonen"
"TRCMODF128F934E4A9","Universal Robot Band","Barely Breaking Even"
"TRCMQSU128F931F111","Michael Jackson","Who Is It"
"TRCMRGJ128F145904A","Wendy & Lisa","Tears Of Joy"
"TRCMRNV128F42149CF","Sheryl Crow","The First Cut Is The Deepest"
"TRCMRRJ128F428DFD7","Christina Aguilera","Come On Over Baby (All I Want Is You)"
"TRCMRSB128F93445AF","Movetron","Ristinolla"
"TRCMSWJ128F42ACB93","Yelle","Tu Es Beau"
"TRCMUDX128F4287E43","Dido","Honestly Ok"
"TRCMUVA128F1488EE9","Tina Turner","Way Of The World"
"TRCMUXO128E078FC97","Espen Lind","All I Want Is An Angel"
"TRCMVAC128F423A438","Sugababes","About You Now"
"TRCMVSW128F428FDBE","Die Prinzen","Ich will dich haben"
"TRCMXJJ128F4231E24","Patrick Nuo","Amazing"
"TRCMYYO128F148A2D2","Nek","Non vale un addio"
"TRCMYZE128F4272F16","Benjamin Biolay","Kites (Les Cerfs-Volants - English Version)"
"TRCMZNI128F4295B76","Terry Stafford","Suspicion"
"TRCMZXV128E07943F4","Sonny & Cher","All I Ever Need Is You"
"TRCNABO128F92F19B8","Lara Fabian","Tout"
"TRCNAFT128F426B24B","Gloria Estefan","Cuts Both Ways"
"TRCNCAJ128F427F2FE","Anna Nalick","Catalyst"
"TRCNCFY128F145FC1A","Jaime Camil","Mi Vida Sin Ti"
"TRCNETX128F422A579","Phantom Ghost","TO DAMASCUS"
"TRCNFUY128F4272D33","Bic Runga","Get Some Sleep"
"TRCNHEA128F42BA817","Eruption","Party Party"
"TRCNHNU128F93166E3","Nick Lachey","All In My Head"
"TRCNIHB128F42335EA","Terra Naomi","Flesh For Bones"
"TRCNJIL12903CBB897","Basia","Drunk On Love"
"TRCNJMP128F92F0F1E","Jennifer Paige","Best Kept Secret"
"TRCNKTQ128F4266766","Jessica Simpson","I Wanna Love You Forever"
"TRCNLEN12903CE8AD1","The Chap","Few Horoscope"
"TRCNLKG128F9346EBE","Mira","Beste B.V."
"TRCNMTX128F14A538A","Frankie Valli & The Four Seasons","Who Loves You (LP Version)"
"TRCNNLU128F42850AB","Modern Talking","Lady Lai"
"TRCNOFQ128F1492A36","Wonderwall","Dear Lifetime"
"TRCNPDL12903C9E0C2","Genki Rockets","Heavenly Star (Space Walk Remix)"
"TRCNROK128F428247B","Jessica Simpson","Loving You"
"TRCNSCF12903CB2C14","Amii Stewart","Sean Sean"
"TRCNSDU12903CE9899","Erik Hassle","Hurtful"
"TRCNTXK128F423B95A","BWO","Angel Of Night"
"TRCNTZF128E0798A4F","Liz Phair","Wind And The Mountain"
"TRCNVUE128F423974F","Amy MacDonald","This Is The Life"
"TRCNWNS128F426F9DD","Simply Red","Oh! What A Girl!"
"TRCOAVU128F931BEB5","Cheryl Lynn","Got To Be Real"
"TRCOAZC128E079521B","Dannii Minogue","Mighty Fine"
"TRCOBYC128F424C2C3","David Jordan","Sun Goes Down"
"TRCOCCS128F931512C","Curtis Stigers","I Keep Telling Myself"
"TRCODNR128F92F6B16","Imogen Heap","Hide & Seek"
"TRCOEKA128F4291FB8","PeterLicht","Ich war mal Cowboy"
"TRCOEPP128F425E972","PMMP","Kesäkaverit"
"TRCOEUP128F428ED65","Charlotte Martin","Steel"
"TRCOEZX12903CABABB","The Supermen Lovers","Starlight"
"TRCOGKV128F42BC237","Jessica Simpson","Push Your Tush"
"TRCOGTI128F92F6EB8","Freemasons","Heartbreak \"Make Me A Dancer"
"TRCOHLU128F428D83E","Kisha","Love Is Enough"
"TRCOHMT128F42A2CFE","Take That","Why Can't I Wake Up With You"
"TRCOIPT128F4289D62","D'Nash","I love you mi vida"
"TRCOJOI128F429280A","Alex Baroni","La Voce Della Luna"
"TRCOMIG128F148FE2D","Gwen Stefani","Orange County Girl"
"TRCONGM128F4231E19","Patrick Nuo","Superglue"
"TRCOOLL128F9354083","Pixie Lott","Cry Me Out"
"TRCOPDL128F93032A9","Florent Pagny","Savoir Aimer"
"TRCOSEA128E0789D17","Lene Marlin","My Lucky Day"
"TRCOSHP128F42A0D7B","MN8","I've Got A Little Something For You"
"TRCOTEM128F9333F80","Ronan Keating","Winter Song"
"TRCOTGB128F933E4B9","Mitchel Musso","Us Against The World"
"TRCOVVP12903CD5EB6","Lunik","People Hurt People"
"TRCOXFU128F42AA942","Rachael Yamagata","Meet Me By The Water"
"TRCOXTI128F92F1C78","Busted","What I Go To School For"
"TRCOYVC128F422301A","Carly Simon","Too Soon to Say Goodbye"
"TRCOYXX128F428AE98","Darren Styles","Discolights"
"TRCOZZE128F42B646C","Cathy Dennis","West End Pad"
"TRCPAFW128F932D6BF","Kelly Sweet","Caresse sur l'Ocean"
"TRCPATC128F9318EE7","Katerine","Treat Me Like A Lady"
"TRCPBEW12903CAC434","Boyzone","'Til The Sun Goes Down"
"TRCPEVO128F423C52C","Josh Groban","Alla Luce Del Sole (Album Version)"
"TRCPHRQ128F14587A8","The Blue Nile","Stay"
"TRCPHWW128F4262511","Neil Diamond","I Haven't Played This Song In Years"
"TRCPJHB12903C984E3","Cilla Black","Love Of The Loved"
"TRCPJJM128F9321C8F","Rocazino","Jordskælv"
"TRCPJXP128E0781745","The Bangles","Nickel Romeo"
"TRCPLLN128F93401D3","Tiktak","Kaikki hyvin"
"TRCPPJX128F92DCE19","Burt Bacharach","Alfie"
"TRCPQLA128F92EB229","Christina Aguilera","Genie 2.0"
"TRCPRON128F1480C9B","El sueño de Morfeo","Cosas que diran"
"TRCPSEE128F934BC20","Veronica Maggio","I staden växer inga blommor"
"TRCPSJI12903CD9879","The Crystals","Da Doo Ron Ron"
"TRCPSTQ128F42996EA","Blue System","Déjà vu"
"TRCPUST128F423D2FA","Kelly Key","Anjo"
"TRCPUWE12903CE5FA7","Natalie Imbruglia","WYUT"
"TRCPUYY128F428E377","Kisha","I'll Be With You"
"TRCPWHO128F4262B12","Jessica Simpson","His Eye Is On The Sparrow"
"TRCPXDA128F42440C3","A-Ha","Less Than Pure"
"TRCPYCI128F93086D1","Rupaul","Snatched for the Gods"
"TRCPYEJ128F42414F1","Madonna","American Life [Headcleanr Rock Mix]"
"TRCPZFZ128F421DEE5","Rupaul","Coming Out Of Hiding (Spectrum/Odyssey Mix)"
"TRCPZSS128E0781C47","Tasmin Archer","Sweet Little Truth"
"TRCQCZC128F424F985","2raumwohnung","Mit viel Glück"
"TRCQDBL128F422BB88","Mutya Buena","Wonderful"
"TRCQDUN128F93256B5","Avalon","Wonder Why"
"TRCQFVQ128F1468874","Sheena Easton","Are You Man Enough"
"TRCQGGK12903CC3616","Kelly Clarkson","A Moment Like This"
"TRCQHFZ12903CCFC7D","Londonbeat","Ordinary Summer"
"TRCQJRY128EF35E23A","ABC","That Was Then But This Is Now"
"TRCQJVJ128F14A3851","DJ Bobo","Together"
"TRCQKPN128EF342DF4","Lucie Silvas","Alone"
"TRCQLFU12903CC84C8","Lady Gaga / Beyoncé","Telephone"
"TRCQNTN128F427E27B","Acda & De Munnik","Het Geeft Niet"
"TRCQPJP128F4293FD9","Five","It's All Over"
"TRCQPNU128EF3426DA","Marquess","Que calor"
"TRCQPXU128E0789ADD","Brother Beyond","I Should Have Lied"
"TRCQQZE128F9365262","Frankmusik","Vacant Heart"
"TRCQRMK12903CA6266","Carly Simon","Coming Around Again"
"TRCQRWV12903CC0134","The Black Eyed Peas","I Gotta Feeling (Edit)"
"TRCQTAG128F4260E18","Cyndi Lauper","Sally's Pigeons"
"TRCQUUF128F42B03B3","Samajona","Sag Es"
"TRCQVIS128F426BB76","Aki Sirkesalo","Parempaa Aikaa"
"TRCQWKT128F4255A4F","LU","Sera"
"TRCQYHR12903CF4779","Frankie Valli & The Four Seasons","Big Girls Don't Cry (LP Version)"
"TRCQYQC128F930C085","Tina Arena","Heaven Help My Heart"
"TRCQYYY128F425AF53","Christophe Willem","Kiss the bride"
"TRCQZXN128F14A2417","Kate Ryan","We Belong Together"
"TRCRACD12903CE70A5","Who da Funk","Shiny Disco Balls (feat. Jessica Eve)"
"TRCRARJ12903CBFDBF","Madonna","Celebration [Benny Benassi Dub]"
"TRCRCHG128E07837CE","Lucie Silvas","Don't Look Back"
"TRCRCOR128F933E4C7","Mitchel Musso","(You Didn't Have To) Walk Away"
"TRCRECL128F9304471","KC And The Sunshine Band","(Shake Shake Shake) Shake Your Booty"
"TRCRFLR128F422D98D","Geri Halliwell","Mi Chico Latino"
"TRCRFWZ128F4296DCB","Lucio Dalla","Un Uomo Come Me"
"TRCRHVK128F4297D3B","Natalie Imbruglia","Hurricane"
"TRCRIAA128F423E63A","Helen Boulding","Copenhagen"
"TRCRMUJ128F9323564","Kayah","Teren Zaminowany"
"TRCRNRU128F42335EF","Terra Naomi","Something Good To Show You"
"TRCRNSN128F1477546","Cathy Dennis","The Date"
"TRCRRKW128F92F74EE","Steps","If You Believe"
"TRCRTBQ128F148C3E7","Sugababes","Hole In The Head"
"TRCRTER128F425EE67","Natasha St-Pier","Je Peux Tout Quitter"
"TRCRXPZ128F92F7A8A","Ottawan","Hello Rio"
"TRCRYJL128E07820A3","Belinda Carlisle","Love In The Key Of C"
"TRCRZBF128F92E3613","Blackbelt Andersen","Lordag Del 1"
"TRCRZOM128F92D630A","Katy Perry","Waking Up In Vegas"
"TRCSALV128F42987C1","Lisa Loeb","All Day"
"TRCSCAG128E078AB79","Dr Bombay","Shaky Snake"
"TRCSDZA128F9323B6D","Anna Eriksson","Kun katsoit minuun"
"TRCSHJJ128F42AC7D2","Teddy Geiger","Try Too Hard"
"TRCSICT128E078AB7B","Dr Bombay","My Sitar"
"TRCSJTV12903CD2DC4","Justin Bieber","Love Me"
"TRCSKJC128F42BAA2F","Utada","Tippy Toe"
"TRCSMTD128F9307C0E","Carpenters","I Believe You"
"TRCSRYN128F92EB224","Christina Aguilera","Ain't No Other Man"
"TRCSTFA128E079192F","Mama Cass","It's Getting Better"
"TRCSTHQ128F42953C0","Michelle Gayle","Happy Just To Be With You"
"TRCSTKO12903C9A569","Ashley Tisdale","Be Good To Me"
"TRCSVMJ128F932A19F","Spice Girls","Tell Me Why (Jonathan Peters Edit)"
"TRCSVUX128F423A02A","Jason Mraz","A Beautiful Mess [From A Raining Jane Sessions]"
"TRCSWBR128F92CFEDB","DJ Sammy & Yanou Feat. Do","Heaven"
"TRCSWRF128F42B6360","Sugababes","Freak Like Me"
"TRCTBUT128F427AAAF","Mylène Farmer","Libertine"
"TRCTBXE128E07995B4","Phil Collins","The Times They Are A-Changin'  (LP Version)"
"TRCTCPQ128F933A5C8","Ana Carolina","Manhã"
"TRCTCZF128F92EB510","The Nolans","Every Home Should Have One"
"TRCTENH128F92F654B","The Saturdays","Up"
"TRCTFRW128F4257661","Emma Bunton","We're Not Gonna Sleep Tonight (Radio Mix)"
"TRCTHSQ12903CA82D3","Kathy Troccoli","I Call Him Love"
"TRCTIGF128E0798ADD","Depeche Mode","Precious (Calderone & Quayle Damaged Club Mix)"
"TRCTILU128F425AA03","Carnival","Not Over Yet"
"TRCTJKS12903CC7690","Lisa Hannigan","I Don't Know (Live)"
"TRCTLAH12903CE5FC5","Aaron Carter","I Just Can't Wait To Be King"
"TRCTNHU12903CC9CFC","DJ Bobo","This Is My Time"
"TRCTNKA128F1469CA9","Julia Fordham","(Love Moves In) Mysterious Ways"
"TRCTNRL128F4287DA1","Whitney Houston","So Emotional"
"TRCTPAJ128F4237508","Seal","Waiting For You"
"TRCTPFC128F428D030","Carly Simon","Life Is Eternal"
"TRCTPGJ128F428E60A","Kirsty MacColl","Angel"
"TRCTQDM128F4263321","Hope Partlow","Who We Are"
"TRCTRIQ128E07922BD","Ronan Keating","The Best Of Me"
